Image|Rating|Code|Name|Classification|Vintage|Region|Price|Country|Description|Stock|Type|Id|Size
Watermark2014 6Charmail 2005 JPEG.jpg|RP 95, WS 85 |M0000243|Charmail|AOC|2005|Haut Medoc|HK$ 399.0|France|Another fabulous sleeper of the vintage, the 2005 Charmail is a blend of 45% Merlot, 35% Cabernet Sauvignon, and the rest Cabernet Franc and Petit Verdot. There are 10,000 cases of this exquisite, sexy, deep purple-hued effort. It displays plenty of creme de cassis notes intermixed with notions of licorice, charcoal, and cedar, sweet fruit, round, ripe tannins, an endearing opulence, and a long finish. Drink it over the next decade.|9|Red wine|5513|750ml
Watermark2014 6Cissac 2005 JPEG.jpg|WS 87 |M0000246|Cissac - OWC|Cru Bourgeois|2005|Haut Medoc|HK$ 220.0|France|Licorice, mineral and tar aromas follow through to a medium body, with firm tannins and a clean finish. Always a little tough, but stylish.|1|Red wine|5514|750ml
Watermark2014 2Climens 2005 JPEG.jpg|RP 97, WS 95 |M0000247|Climens|1er Cru|2005|Barsac|HK$ 750.0|France|Toffee, dried lemon rind and tropical fruit on the nose. Full-bodied and very sweet, with a dense palate of candied fruit and a long, sweet finish. Very concentrated. The botrytis spice creeps up on the finish. Best after 2013. 2,300 cases made. –JS|6|Sweet White|5515|750ml
Watermark2014 3Duhart Milon 2005 JPEG.jpg|RP 94 |M0000355|Duhart-Milon|4eme Cru|2005|Pauillac|HK$ 838.0|France||8|Red wine|5516|750ml
Watermark2014 8Le Pin 2005 JPG.jpg|RP 96 |M0000393|Le Pin|AOC|2005|Pomerol|HK$ 26,500.0|France|While I would not rank the 2005 Le Pin as highly as the 2001, 2000, 1998, 1989, 1983, or 1982, it is still a beautiful wine offering a deep ruby/purple color along with an open-knit nose of caramel, coconut, coffee, melted chocolate, and sweet, jammy black cherry and currant fruit. The alluring fragrance is followed by an opulent, luscious Pomerol with flamboyant flavors of ripe black fruits intermixed with hints of roasted herbs, meat juices, plums, and Asian spices. Unfortunately, the world’s billionaires quickly gobble up Le Pin’s 500 cases, even at preposterously high prices. Anticipated maturity: 2012-2025.|6|Red wine|5517|750ml
Watermark2014 9Petrus 2005.jpg|RP 96+ |M0000416|Petrus|AOC|2005|Pomerol|HK$ 29,800.0|France|Inky/ruby/purple-colored with a classic, but tightly wound bouquet of vanillin, cedar, roasted herbs, mulberry jam, black cherries, licorice, and graphite, the full-bodied, powerful, tannic 2005 Petrus is a super-concentrated, backward wine meant for five decades of aging. As excruciatingly tannic as some of the northern Medocs, it requires at least 15 years of bottle age. Anticipated maturity: 2020-2050+.|1|Red wine|5518|750ml
Watermark2014 9Smith Haut Lafitte Blanc 2005 JPEG.jpg||M0000424|Smith Haut Lafitte Blanc|Grand Cru Classes|2005|Graves|HK$ 799.0|France|This 2005 dry white Bordeaux exhibits plenty of citrus oil, honeysuckle, and grapefruit in a medium-bodied, concentrated, crisp yet authoritative style.|9|White wine|5519|750ml
||M0000555|Egon Muller Scharzhofberger Kabinett||2005|Mosel|HK$ 599.0|Germany||2|Sweet White|5520|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 96 |M0000623|Mouton Rothschild|1er Cru|2005|Pauillac|HK$ 4,980.0|France||23|Red wine|5521|750ml
|RP 93 |M0000629|Louis Roederer Cristal|AOC|2005|Champagne|HK$ 1,490.0|France||4|Champagne|5522|750ml
|RP 94 |M0000704|Haut Bages Averous|2nd wine|2005|Pauillac|HK$ 590.0|France||35|Red wine|5523|750ml
Watermark2014 2Palmer 2009 1500ml JPEG.jpg|RP 97 |M0000758|Palmer|3eme Cru|2005|Margaux|HK$ 2,450.0|France||7|Red wine|5524|750ml
|RP 96 |M0000767|Domaine Anne Gros Richebourg Grand Cru|Grand Cru|2005|Burgundy|HK$ 7,980.0|France||6|Red wine|5525|750ml
|RP 95 |M0000768|Domaine Armand Rousseau Chambertin G Cru Clos de Beze|Grand Cru|2005|Burgundy|HK$ 12,000.0|France||1|Red wine|5526|750ml
Watermark2014 7Icon Chardonnay 2006 JPEG.jpg|JH 89 |M0000020|Bidgeebong The Icon Series Chardonnay||2006|Tumbarumba|HK$ 368.0|Australia|Appealing nectarine and citrus fruit, and the French oak is appropriate.|63|White wine|5527|750ml
Watermark2014 7Will Taylor Adeaide Hill Sauvignon Blanc 2006 JPEG.jpg|JH 91 |M0000036|Will Taylor Adeaide Hill Sauvignon Blanc||2006|Adeaide Hill|HK$ 299.0|Australia|The wine is very pale straw in colour.  Gentle wafts of gooseberry and herbs, with a tropical note. Creamy texture on the palate, with gooseberry, banana and herbal characters. Persistent finish with good acidity cutting the richness of the wine.|47|White wine|5528|750ml
Watermark2014 9La Petite Eglise 2005.jpg||M0000045|La Petite Eglise|AOC|2006|Pomerol|HK$ 499.0|France||0|Red wine|5529|750ml
Watermark2014Bad Boy 2007 JPEG.jpg||M0000074|Bad Boy|AOC|2006|Bordeaux||France||0|Red wine|5530|750ml
||M0000116|Chryseia||2006|Douro|HK$ 440.0|Portugal||6|Red wine|5531|750ml
Watermark2014 4Sorby Adams The Thing Shiraz 2006 JPEG.jpg|JH 93 |M0000156|Sorby Adams "The Thing" Shiraz||2006|Eden Valley|HK$ 550.0|Australia|A rich and layered wine with supple black fruits and a substantial amount of new oak surrounding the fruit; the tannins are fine and soft, the mouthfeel good.|18|Red wine|5532|750ml
Watermark2014 6Plantiers du Haut Brion 2006 JPEG.jpg||M0000195|Plantiers du Haut Brion|AOC|2006|Pessac Leognan|HK$ 460.0|France|This 100% Semillon made from relatively young vines in the Haut-Brion vineyard is crisp, steely, with plenty of grapefruit, lemon zest, and white currants in a medium-bodied, fresh, lively style. Drink it over the next 10-12 years.|11|Red wine|5533|750ml
Watermark2014 2Cantenac Brown 2006 JPEG.jpg|RP 92, WS 90 |M0000230|Cantenac Brown|3eme Cru|2006|Margaux|HK$ 599.0|France|New owner, Syrian Simon Halabi, has instituted a severe selection process (only 35% of the production was utilized), resulting in what may be the finest Cantenac-Brown I have ever tasted. Halabi has given his staff carte blanche in order to get this estate back on track after a succession of good, but somewhat rustic, nearly overly tannic wines. The 2006 offers hints of lead pencil shavings intermixed with blueberry, blackberry, and pain grille aromas. The wine is dense, concentrated, and moderately tannic, with loads of pure fruit and medium to full body. Anticipated maturity: 2015-2030.|9|Red wine|5534|750ml
Watermark2014 3Carruades de Lafite 2006 JPEG.jpg|RP 90 |M0000238|Carruades De Lafite|2nd wines of Lafite|2006|Pauillac|HK$ 2,350.0|France||4|Red wine|5535|750ml
Watermark2014 6Clos Fourtet 2006 JPEG.jpg|RP 91 |M0000250|Clos Fourtet|1er GCC B|2006|St. Emilion|HK$ 540.0|France|A beautiful offering from proprietor Philippe Cuvelier and his estate manager, Tony Balu, the 2007 Clos Fourtet was fashioned from yields of 36 hectoliters per hectare. It exhibits a dense blue/purple color along with lovely aromas of charcoal, graphite, black raspberries, and blueberries. Dense, rich, and surprisingly full-bodied for a 2007, with good glycerin, a layered mouthfeel, sweet tannin, and low acidity, it should drink well for 10-12+ years. 2010-2022|0|Red wine|5536|750ml
Watermark2014 9Chateau Dauzac 2006.jpg|RP 88 |M0000264|Dauzac|5eme Cru|2006|Margaux|HK$ 1,280.0|France||9|Red wine|5537|750ml
Watermark2014 6La Lagune 2006 JPEG.jpg|WS 85-88 |M0000293|La Lagune|3eme Cru|2006|Haut Medoc|HK$ 500.0|France|Having just had the 2005 La Lagune, which I think is the greatest La Lagune I have ever tasted, the 2006 certainly loses some prestige in comparison, but this is an outstanding wine and further evidence of just how strong this estate’s wines have become. Sweet plum and red and black currant fruit, intermixed with notes of resiny pine forest and forest floor as well as a hint of barrique, are followed by a wine with gorgeous depth, an attractive, medium-bodied texture, a fresh, poised personality, and a moderately long finish. This is another beauty, not weighty, but pure, savory, and capable of lasting 15 or more years, although it is accessible already.|25|Red wine|5538|750ml
Watermark2014 9Chateau Haut Sarpe 2006.jpg||M0000368|Haut Sarpe|Grand Cru Classes|2006|St. Emilion|HK$ 550.0|France|Deep red colour. Silky attack. Rich but delicate wine.|1|Red wine|5539|750ml
Watermark2014 9LA Providence 2006.jpg|RP 93 |M0000373|Ch. Providence|AOC|2006|Pomerol|HK$ 880.0|France|This limited-production, 100% Merlot cuvee is a beauty. Sweet, almost caramelized black cherry fruit and dark mountain berries intermixed with forest floor and a touch of subtle oak characterize this full-bodied, rich, concentrated, superb Pomerol that should hit its stride in 3-4 years and last for two decades.|0|Red wine|5540|750ml
Watermark2014 2Rauzan Segla 2006 JPEG.jpg||M0000422|Rauzan Segla|2eme Cru|2006|Margaux|HK$ 580.0|France|On the same qualitative level as this estate’s brilliant 2005, but with slightly less sucrosite, this blend of 53% Cabernet Sauvignon, 44% Merlot, and the rest Petit Verdot, exhibits a 1986-like personality ,a very successful vintage at Rauzan Segla. Its deep ruby/purple hue is accompanied by sweet aromas of bay leaf, black currants, licorice, truffles, and a touch of toast, dazzling fruit, and plenty of ripe, but not astringent tannin. This is a medium to full-bodied, classic, pure, surprisingly approachable Rauzan Segla that will be at its finest between 2012-2025+.|4|Red wine|5541|750ml
||M0000565|Taillefer|AOC|2006|Pomerol||France||0|Red wine|5542|750ml
Watermark2014D Aurilhac 2006 JPEG.jpg||M0000576|D Aurilhac|Cru Bourgeois|2006|Haut Medoc|HK$ 195.0|France||26|Red wine|5543|750ml
Watermark2014Cambon La Pelouse 2006 JPEG.jpg|RP87 WS86 |M0000580|Cambon La Pelouse|AOC|2006|Haut Medoc|HK$ 278.0|France|Another sleeper of the vintage, this delicious, complex 2008 is more evolved than the 2010, exhibiting a deep ruby/plum color as well as sweet mocha, white chocolate and black cherry fruit.|19|Red wine|5544|750ml
Watermark2014Faustino Rivero Reserva 2006jpg.jpg||M0000606|Faustino Rivero Reserva||2006|Rioja|HK$ 180.0|Spain||290|Red wine|5545|750ml
|RP 90 |M0000608|Clos Badon Thunevin|Grand Cru Classes|2006|St. Emilion|HK$ 588.0|France|From the Jean-Luc Thunevin portfolio, this St.-Emilion exhibits pure, ripe black cherry and black currant fruit intermixed with holiday fruitcake spices, cedar, and forest floor. The wine is medium to full-bodied, pure, and nicely textured. Drink it over the next 7-8 years.|84|Red wine|5546|750ml
Watermark2014Pavie 2002jpg.jpg|RP 96 |M0000625|Pavie|1er GCC A|2006|St. Emilion|HK$ 1,999.0|France||10|Red wine|5547|750ml
||M0000692|La Tour de Mons|AOC|2006|Margaux||France||2|Red wine|5548|1500ml
Watermark2014 2Palmer 2009 1500ml JPEG.jpg|RP 92 |M0000755|Palmer|3eme Cru|2006|Margaux|HK$ 2,180.0|France||0|Red wine|5549|750ml
|RP 95 |M0000766|Domaine Leflaive Batard Montrachet Grand Cru|Grand Cru|2006|Burgundy|HK$ 3,600.0|France||2|Red wine|5550|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 98+ |M0000810|Mouton Rothschild|1er Cru|2006|Pauillac|HK$ 4,800.0|France||12|Red wine|5551|750ml
Watermark2014 9Chateau d Armailhac 2000.jpg||M0000826|D Amailhac|5eme Cru|2006|Pauillac||France||0|Red wine|5552|750ml
Watermark2014 9Icon Chardonnay 2007 JPEG.jpg|JH 84 |M0000021|Bidgeebong The Icon Series Chardonnay||2007|Tumbarumba|HK$ 368.0|Australia|Deep colour; oaky, dried fig bouquet; heavy and hollow on the palate.|66|White wine|5553|750ml
|RP 93 |M0000071|Domaine Leory Vignes Rondes|AOC|2007|Burgundy|HK$ 4,702.0|France||0|Red wine|5554|750ml
||M0000113|Monbousquet|GCC (St. Emilion)|2007|St. Emilion||France||0|Red wine|5555|750ml
Watermark2014 2Palmer 2007 JPEG.jpg||M0000194|Palmer|3eme Cru|2007|Margaux|HK$ 1,600.0|France|A blend of 49% Merlot, 44% Cabernet Sauvignon, and 7% Petit Verdot, the 2007 Palmer possesses a dense ruby/purple color as well as attractive smoky charcoal, blackberry, and plum aromas, good purity, excellent texture, and a soft, fleshy mouthfeel. It should drink well for 10-12 years. 2010-2022|24|Red wine|5556|750ml
Watermark2014 5Angludet 2007 JPEG.jpg|RP 87, WS 87 |M0000203|Angludet|AOC|2007|Margaux|HK$ 299.0|France|Angludet performed much better from bottle than it did from cask. It reveals attractive floral, black cherry, blueberry, licorice, and asphalt characteristics in its medium-bodied, ripe, round, elegant personality. Enjoy it over the next 5-6 years.|20|Red wine|5557|750ml
Watermark2014 9Chateau Ausone 2008.jpg|RP 94, WS 91 |M0000207|Ausone|1er GCC A|2007|St. Emilion|HK$ 4,980.0|France|Its deep ruby/purple hue is accompanied by a beautiful nose of spring flowers, raspberries, black currants, and crushed rocks. The wine is dense, medium to full-bodied, and pure with sweet tannin as well as a surprisingly evolved, forward style. Anticipat|5|Red wine|5558|750ml
Watermark2014 2Clos Fourtet 2007 JPEG.jpg|RP 93, WS 90 |M0000249|Clos Fourtet|1er GCC B|2007|St. Emilion|HK$ 1,100.0|France|Clos Fourtet has produced a succession of brilliant wines since 2003. While the 2006 may not equal the prodigious 2005, it possesses a dark ruby/purple hue as well as sweet notes of creme de cassis, spring flowers, new oak, and a steely/mineral-like nuance in the background. Attractive, plump, opulent fruit on the palate is followed by a slight narrowing, but the finish is strong, with moderate tannin. Consume this beauty between 2008-2016.|11|Red wine|5559|750ml
Watermark2014 6Langoa Barton 2007 JPEG.jpg||M0000295|Langoa Barton  - OWC|3eme Cru|2007|Saint Julien|HK$ 399.0|France|The dark-colored 2007 Langoa Barton may be too angular, austere, and excessively extracted. This masculine, hard wine may or may not settle down, but it is not a style of wine that’s conducive to the lightness and charm of a vintage such as 2007. Time will tell. Forget it for 3-4 years, and keep your fingers crossed.|0|Red wine|5560|750ml
Watermark2014 6Reserve de la Comtesse 2007 JPEG.jpg||M0000325|Reserve de la Comtesse|2nd wines of Pichon Lalande|2007|Pauillac|HK$ 308.0|France|The second wine, the 2007 Reserve de Comtesse, is a lighter, but equally soft and approachable version of the grand vin. Already evolved, it is a round, plump, delicious Pauillac to enjoy over the next 7-8 years.|0|Red wine|5562|750ml
Watermark 9 Domaine Leory Aux Laviere Villages 2007 JPEG.jpg||M0000351|Domaine Leory Aux Lavire Villages|AOC|2007|Burgundy|HK$ 2,680.0|France||0|Red wine|5563|750ml
Watermark2014 9Domaine Leroy Les Narbantons Premier Cru 2007 JPEG.jpg|RP 93 |M0000352|Domaine Leroy Les Narbantons Premier Cru|1er Cru|2007|Burgundy|HK$ 3,100.0|France||1|Red wine|5564|750ml
Watermark2014 8d Yquem 2007 JPEG.jpg|RP 98 |M0000358|d Yquem||2007|Sauternes|HK$ 1,999.0|France||7|Sweet White|5565|375ml
Watermark2014 9Chateau La Fleur Petrus 2007.jpg|RP 90 |M0000370|La Fleur Petrus|AOC|2007|Pomerol|HK$ 1,750.0|France|It is deep plum/ruby-tinged 2007 offers a big, sweet kiss of black cherries, blackberries, licorice, and earth. Round, generous, and medium-bodied with an intensity of flavor and silkiness that are endearing, it should drink nicely for a decade or more.|1|Red wine|5566|750ml
Watermark2014 3La Mission Haut Brion 2007 JPEG.jpg|RP 91 |M0000372|La MISSION HAUT BRION|Grand Cru Classes|2007|Pessac Leognan|HK$ 1,699.0|France|The 2007 La Mission Haut Brion, a candidate for wine of the vintage, exhibits a dense ruby/purple hue along with notes of melted licorice, blueberries, cassis, burning embers, and charcoal, sweet tannin, medium to full body, a fleshy mouthfeel, and an endearing succulence as well as lushness. Already appealing, it should continue to evolve and drink well for 15+ years. It is a great success for the vintage. 2010-2025|4|Red wine|5567|750ml
Watermark2014 9Lascombes 2007 JPEG.jpg|RP91 |M0000382|Lascombes|2eme Cru|2007|Margaux|HK$ 699.0|France|A beautiful notes of incense, spring flowers, blackberries, cassis, and subtle spicy oak. Full-bodied, rich, and concentrated, with no hard edges。|2|Red wine|5568|750ml
|RP 92 |M0000566|Augelus|1er GCC A|2007|St. Emilion|HK$ 4,500.0|France||6|Red wine|5569|1500ml
Watermark2014Virginie de Valandraud 2007jpg.jpg|WS86 |M0000610|Virginie de Valandraud|2nd wine|2007|St. Emilion|HK$ 360.0|France|Milk chocolate and berry pie aromas follow through to a medium body, with fine tannins and a medium finish. Well-crafted. Second wine of Valandraud.|45|Red wine|5570|750ml
Watermark2014Bad Boy 2007 JPEG.jpg|WS 88 |M0000614|Bad Boy|AOC|2007|Bordeaux||France||24|Red wine|5571|750ml
|RP 93 |M0000617|Bellevue Mondotte|AOC|2007|St. Emilion|HK$ 1,300.0|France||48|Red wine|5572|750ml
||M0000638|Le Haut Medoc de Giscours|2nd wine|2007|Haut Medoc|HK$ 168.0|France||0|Red wine|5573|750ml
||M0000644|Domaine Leroy Nuits St Georges Les Lavieres|1er Cru|2007|Burgundy||France||0|Red wine|5574|750ml
Watermark2014 6Lagrange 1998 JPEG.jpg||M0000678|Lagrange|3eme Cru|2007|Pomerol|HK$ 398.0|France||11|Red wine|5575|750ml
||M0000700|Talbot|4eme Cru|2007|Saint Julien||France||0|Red wine|5576|750ml
Watermark2014 2Canon 2009 JPEG.jpg|RP 90 |M0000712|Canon|1er GCC B|2007|St. Emilion||France||12|Red wine|5577|750ml
|RP 85 |M0000722|Le Petit Mouton|2nd wine of Mouton|2007|Pauillac|HK$ 1,780.0|France||12|Red wine|5578|750ml
Watermark2014 9Chateau Pontet-Canet 2003.jpg||M0000752|Pontet Canet|5eme Cru|2007|Pauillac|HK$ 720.0|France||26|Red wine|5579|750ml
||M0000775|Hold and Hollo Tokai Dry||2007|Austria|HK$ 228.0|Austria||0|White wine|5580|750ml
Watermark2014 7Tumbarumba Chardonnay 2008 JPEG.jpg||M0000013|Bidgeebong Tumbarumba Chardonnay||2008|Tumbarumba|HK$ 258.0|Australia|Attractive peach and melon flavours with characteristics typical of good cool climate chardonnay.This wine has attractive lychee and melon flavours complimented by a pleasant refreshing finish.|156|White wine|5581|750ml
Watermark2014 7Triangle Chardonnay 2008 JPEG.jpg|JH 83 |M0000014|Bidgeebong Triangle Chardonnay||2008|New South Wales|HK$ 180.0|Australia|A rich and generous easy drinking Chardonnay made up of fruit from Tumbarumba and Gundagai regions. The wine shows varietal characters and flavours complemented by a fresh clean finish.|53|White wine|5582|750ml
Watermark2014 7Tempranillo Kyeamba Lot 2008 JPEG.jpg|JH 90 |M0000019|Bidgeebong Tempranillo Kyeamba Lot||2008|Australia|HK$ 258.0|Australia|The varietal mix of black and red cherries, and also that touch of lemon/citrus that I find on the finish of many tempranillos.|11|Red wine|5583|750ml
Watermark2014 7Hoggies Shiraz 2008 JPEG.jpg|JH 90 |M0000033|Hoggies Shiraz||2008|Victoria|HK$ 150.0|Australia|Bottling No. 2. Medium red-purple. The second bottling of this wine, given an extra year in barrel, has softened the tannins and introduced some savoury nuances without decimating the red and black fruits; the finish is particularly good. Consume it now or over the next 3 years.|9|Red wine|5584|750ml
Watermark2014 6Barde Haut 2008 JPEG.jpg|RP 89, WS 92 |M0000057|Barde Haut|Grand Cru Classes|2008|St. Emilion|HK$ 280.0|France|Fruity, soft and fully mature, the 2008 Barde-Haut offers up notes of licorice, roasted herbs, cedar and spice. Medium-bodied with an evolved, endearing character, it should be enjoyed over the next 5-6 years. 2011-2017|14|Red wine|5585|750ml
Watermark2014 6La Chenade 2008 JPEG.jpg|WS 86 |M0000060|La Chenade|AOC|2008|Lalande de Pomerol|HK$ 168.0|France|Forward, with a slightly airy core of cherry pie, floral and red licorice notes. A cherry jam edge fills in a touch on the finish. Drink now.|2|Red wine|5586|750ml
Watermark2014 9Chateau Bertinerie 2008.jpg||M0000062|Bertinerie|AOC|2008|Blaye|HK$ 138.0|France|Ruby colour with pink rim. Clean and ripe black and red fruit aromas, with hints of game, cedar wood and leather. Soft plumy finish with spice and mineral, integrated with ample but soft tannins. Good aftertaste and medium finish.|1|Red wine|5587|750ml
||M0000064|Sueno de Carlos Crianzas||2008||HK$ 92.0|||0||5588|
Watermark2014Almaviva 2008 JPEG.jpg|RP 90 |M0000086|Almaviva||2008|Maipo Valley-Puente Alto|HK$ 999.0|Chile||4|Red wine|5589|750ml
Watermark2014Latour 2008jpg.jpg|RP 95 |M0000098|Latour|1er Cru|2008|Pauillac|HK$ 5,800.0|France||12|Red wine|5590|750ml
Watermark2014Sociando Mallet 2010jpg.jpg|WS 88 |M0000114|Sociando Mallet|AOC|2008|Haut Medoc|HK$ 295.0|France||12|Red wine|5591|750ml
Watermark2014 3Pyrenees Ridge Pyrenees Shiraz 2008 JPEG.jpg|JH 95 |M0000152|Pyrenees Ridge Reserve Shiraz||2008|Victoria|HK$ 350.0|Australia|Rich blackberry/ plum fruit flavours are complimented by spice, chocolate/mocha and toasty vanillin oak characters. With 16 months maturation in new American oak barriques, the wine has developed attractive toasty oak characters and fine-grained tannins.|22|Red wine|5592|750ml
Watermark2014 4Sorby Adams Jellicoe Cab Sauv 2008 JPEG.jpg||M0000163|Sorby Adams Jellicoe Cab Sauv||2008|Eden Valley|HK$ 250.0|Australia|The Cabernet Sauvignon for this particular wine is sourced from our Jellicoe vineyard high in the Eden Valley near Mt McKenzie. At 475 metres above sea level the rocky soils and cool climate of this Barossan sub-region provide Cabernet Sauvignon fruit that is strong in varietal characters and big in flavour and vitality.|221|Red wine|5593|750ml
Watermark2014 4Soby Adams Jellicoe Riesling 2008 JPEG.jpg|JH 86 |M0000164|Sorby Adams Jellicoe Riesling||2008|Eden Valley|HK$ 250.0|Australia||223|White wine|5594|750ml
Watermark2014 4Sorby Adams Jellicoe Shiraz 2008 JPEG.jpg||M0000165|Sorby Adams Jellicoe Shiraz||2008|Eden Valley|HK$ 250.0|Australia|At over 470 metres above sea level in the beautiful Eden Valley, our Jellicoe Shiraz vineyard is perfectly situated to provide a counterpoint to the larger wines of the Barossa Valley floor. From the Eden Valley you can expect more finesse, bright acidity and more drive.|58|Red wine|5595|750ml
Watermark2014 4Sorby Adams The Reverend Canon Cab Shiraz 2008 JPEG.jpg||M0000166|Sorby Adams The Canon Cab Shiraz||2008|Eden Valley|HK$ 299.0|Australia|The Canon is now a Cabernet Shiraz blend. Cabernet Sauvignon and Shiraz are the best of mates, perfectly suited to each other.|131|Red wine|5596|750ml
Watermark2014 4Sorby Adams The Family Sparkling Cabernet JPEG.jpg||M0000167|Sorby Adams The Family Sparkling Cabernet||2008|Eden Valley|HK$ 199.0|Australia|Intensely flavoured with citrus and grapefruit characters|60|Sparkling|5597|750ml
||M0000169|Gloria|AOC|2008|Saint-Julien||France||0|Red wine|5598|750ml
Watermark2014 5Trillol Rouge 2008 JPEG.jpg||M0000170|Trillol|AOC|2008|Corbieres|HK$ 160.0|France|Profound, intense colour, with brilliant, crimson tints without excessive extract. The nose is expressive, firstly of fruit, then of spices with notes of Mediterranean herbs (thyme,rosemary and mint), after which discreet, elegant notes of tobacco and wood emerge. On the palate, the attack is generous, ample and silky. The finish is nevertheless soft and fruity, ending on a rather peppery note.|18|Red wine|5599|750ml
Watermark2014 9Chateau Ausone 2008.jpg|RP 98, WS 94 |M0000208|Ausone|1er GCC A|2008|St. Emilion|HK$ 6,650.0|France|The 2008 boasts an inky/blue/purple color as well as a glorious perfume of spring flowers, blueberry and blackberry liqueur, camphor, truffles and crushed rocks. With great fruit on the attack and mid-palate, a medium to full-bodied, multidimensional mout|2|Red wine|5600|750ml
Watermark2014 2De Fargues 2008 JPEG.jpg||M0000265|De Fargues||2008|Sauternes|HK$ 999.0|France||5|Sweet White|5601|750ml
Watermark2014 6Haut Bergey 2008 JPEG.jpg||M0000278|Haut Bergey|AOC|2008|Pessac Leognan|HK$ 299.0|France||10|Red wine|5602|750ml
Watermark2014 8Domaine Gros Frere et Soeur Richebourg Grand Cru 2008 JPEG.jpg|RP 93 |M0000348|Domaine Gros Frere et Soeur Richebourg Grand Cru|Grand Cru|2008|Burgundy|HK$ 3,999.0|France||6|Red wine|5603|750ml
Watermark2014 9Chateau Lynch Bages 2008.jpg||M0000400|Lynch Bages|5eme Cru|2008|Pauillac|HK$ 899.0|France|A sensational effort for the vintage, this textured, opulent, superb Lynch Bages is already strutting its stuff and should easily last for 20 years. Medium to full-bodied with an opaque dense purple color, notes of flowers and cassis, a layered texture that builds incrementally in the mouth and tremendous purity and depth.|1|Red wine|5604|750ml
Watermark2014 6Montrose 2008 JPEG.jpg||M0000408|Montrose|2eme Cru|2008|St. Estephe|HK$ 780.0|France|One of the superstars of the vintage, this classic Montrose is not as showy or opulent as the 2010, 2009 or 2003, but it offers a dense purple color followed by gorgeously sweet black raspberry and black currant fruit intermixed with loamy, earthy, forest floor notes, a floral component and a long, full-bodied finish. The 2008 was fashioned from yields of 44 hectoliters per hectare which is slightly less than the 2010's 45 hectoliters per hectare. Forget it for 5-8 years and drink it over the following 20+. 2016-2036|4|Red wine|5605|750ml
|RP 96, WS 94 |M0000426|Tenuta San Guido Sassicaia|DOC|2008|Bolgheri|HK$ 1,580.0|Italy|The 2008 Sassicaia is a rich, deep wine imbued with notable class in its black cherries, plums, grilled herbs, minerals and smoke. Muscular, firm tannins frame the exquisite finish in this dark, implosive Sassicaia. The wine spent 24 months in French oak barrels. Anticipated maturity: 2018-2038.|4|Red wine|5606|700ml
|RP 96 |M0000557|Troplong Mondot|GCC (St. Emilion)|2008|St. Emilion|HK$ 770.0|France||12|Red wine|5607|750ml
||M0000568|Clos de Landiras|AOC|2008|Graves|HK$ 390.0|France||5|Red wine|5608|750ml
Watermark2014Cambon La Pelouse 2008 JPEG.jpg|RP87 WS86 |M0000579|Cambon La Pelouse|AOC|2008|Haut Medoc|HK$ 198.0|France|The deep ruby-colored 2006 exhibits sweet red and black currant aromas intermixed with notions of toasty oak, damp earth, and spice. Richly fruity, soft, and round.|19|Red wine|5609|750ml
Watermark2014Pedesclaux 2008jpg.jpg||M0000590|Pedesclaux|5eme Cru|2008|Pauillac|HK$ 320.0|France|A very friendly style, with toasted vanilla and red licorice up front, followed by juicy plum and blackberry fruit notes. A vanilla edge lingers on the lightly toasty finish|0|Red wine|5610|750ml
||M0000605|Faustino Rivero Crianza|Crianza|2008|Rioja|HK$ 130.0|Spain||170|Red wine|5611|750ml
Watermark2014Virginie de Valandraud 2008jpg.jpg|RP89 WS86 |M0000611|Virginie de Valandraud|2nd wine|2008|St. Emilion|HK$ 250.0|France|Made in a complex, evolved style, the plum/purple-colored 2008 exhibits notes of white chocolate, smoky barbecue and black currants. Richly fruity with good acidity as well as sweet tannin.|3|Red wine|5612|375ml
|RP 94 |M0000618|Bellevue Mondotte|AOC|2008|St. Emilion|HK$ 1,500.0|France||36|Red wine|5613|750ml
||M0000619|Goulee By Cos D estournel|AOC|2008|Medoc|HK$ 298.0|France||23|Red wine|5614|750ml
Watermark2014 6Potensac 2009 JPEG.jpg|RP 87 |M0000627|Potensac|AOC|2008|Medoc|HK$ 180.0|France||0|Red wine|5615|750ml
Watermark2014Bad Boy 2007 JPEG.jpg|WS 88 |M0000690|Bad Boy|AOC|2008|Bordeaux|HK$ 250.0|France||130|Red wine|5616|750ml
Watermark2014Mouton Rothschild 1994jpg.jpg|RP 95 |M0000706|Mouton Rothschild|1er Cru|2008|Pauillac|HK$ 3,999.0|France||12|Red wine|5617|750ml
Watermark2014 5Alter Ego de Palmer 2010 JPEG.jpg||M0000738|Alter Ego de Palmer|2nd wine of Palmer|2008|Margaux|HK$ 620.0|France||0|Red wine|5618|750ml
||M0000739|Blanc de Bleu Sparkling Wine||2008|California|HK$ 299.0|American||13|Sparkling|5619|750ml
Watermark2014Margaux 1993jpg.jpg|RP 93 |M0000776|Margaux|1er Cru|2008|Margaux|HK$ 3,700.0|France||96|Red wine|5620|750ml
Watermark2014 3Lafite Rothschild 1996 JEPG.jpg|RP 97 |M0000778|Lafite Rothschild|1er Cru|2008|Pauillac|HK$ 7,000.0|France||41|Red wine|5621|750ml
